table_schema,table_name,columns
auth,audit_log_entries,"[{""column_name"":""instance_id"",""data_type"":""uuid"",""is_nullable"":""YES"",""default"":null},{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""payload"",""data_type"":""json"",""is_nullable"":""YES"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""ip_address"",""data_type"":""character varying"",""is_nullable"":""NO"",""default"":""''::character varying""}]"
auth,flow_state,"[{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""user_id"",""data_type"":""uuid"",""is_nullable"":""YES"",""default"":null},{""column_name"":""auth_code"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""code_challenge_method"",""data_type"":""USER-DEFINED"",""is_nullable"":""NO"",""default"":null},{""column_name"":""code_challenge"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""provider_type"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""provider_access_token"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""provider_refresh_token"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""updated_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""authentication_method"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""auth_code_issued_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null}]"
auth,identities,"[{""column_name"":""provider_id"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""user_id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""identity_data"",""data_type"":""jsonb"",""is_nullable"":""NO"",""default"":null},{""column_name"":""provider"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""last_sign_in_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""updated_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""email"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":""gen_random_uuid()""}]"
auth,instances,"[{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""uuid"",""data_type"":""uuid"",""is_nullable"":""YES"",""default"":null},{""column_name"":""raw_base_config"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""updated_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null}]"
auth,mfa_amr_claims,"[{""column_name"":""session_id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""default"":null},{""column_name"":""updated_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""default"":null},{""column_name"":""authentication_method"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null}]"
auth,mfa_challenges,"[{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""factor_id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""default"":null},{""column_name"":""verified_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""ip_address"",""data_type"":""inet"",""is_nullable"":""NO"",""default"":null},{""column_name"":""otp_code"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""web_authn_session_data"",""data_type"":""jsonb"",""is_nullable"":""YES"",""default"":null}]"
auth,mfa_factors,"[{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""user_id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""friendly_name"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""factor_type"",""data_type"":""USER-DEFINED"",""is_nullable"":""NO"",""default"":null},{""column_name"":""status"",""data_type"":""USER-DEFINED"",""is_nullable"":""NO"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""default"":null},{""column_name"":""updated_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""default"":null},{""column_name"":""secret"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""phone"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""last_challenged_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""web_authn_credential"",""data_type"":""jsonb"",""is_nullable"":""YES"",""default"":null},{""column_name"":""web_authn_aaguid"",""data_type"":""uuid"",""is_nullable"":""YES"",""default"":null},{""column_name"":""last_webauthn_challenge_data"",""data_type"":""jsonb"",""is_nullable"":""YES"",""default"":null}]"
auth,oauth_authorizations,"[{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""authorization_id"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""client_id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""user_id"",""data_type"":""uuid"",""is_nullable"":""YES"",""default"":null},{""column_name"":""redirect_uri"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""scope"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""state"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""resource"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""code_challenge"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""code_challenge_method"",""data_type"":""USER-DEFINED"",""is_nullable"":""YES"",""default"":null},{""column_name"":""response_type"",""data_type"":""USER-DEFINED"",""is_nullable"":""NO"",""default"":""'code'::auth.oauth_response_type""},{""column_name"":""status"",""data_type"":""USER-DEFINED"",""is_nullable"":""NO"",""default"":""'pending'::auth.oauth_authorization_status""},{""column_name"":""authorization_code"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""default"":""now()""},{""column_name"":""expires_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""default"":""(now() + '00:03:00'::interval)""},{""column_name"":""approved_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null}]"
auth,oauth_clients,"[{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""client_secret_hash"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""registration_type"",""data_type"":""USER-DEFINED"",""is_nullable"":""NO"",""default"":null},{""column_name"":""redirect_uris"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""grant_types"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""client_name"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""client_uri"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""logo_uri"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""default"":""now()""},{""column_name"":""updated_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""default"":""now()""},{""column_name"":""deleted_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""client_type"",""data_type"":""USER-DEFINED"",""is_nullable"":""NO"",""default"":""'confidential'::auth.oauth_client_type""}]"
auth,oauth_consents,"[{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""user_id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""client_id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""scopes"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""granted_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""default"":""now()""},{""column_name"":""revoked_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null}]"
