table_schema,table_name,columns,constraints
auth,audit_log_entries,"[{""column_name"":""instance_id"",""data_type"":""uuid"",""is_nullable"":""YES"",""default"":null},{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""payload"",""data_type"":""json"",""is_nullable"":""YES"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""ip_address"",""data_type"":""character varying"",""is_nullable"":""NO"",""default"":""''::character varying""}]","[{""constraint_name"":""16492_16523_2_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_16523_5_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""audit_log_entries_pkey"",""constraint_type"":""PRIMARY KEY"",""columns"":[""id""],""foreign_table"":null,""foreign_column"":null}]"
auth,flow_state,"[{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""user_id"",""data_type"":""uuid"",""is_nullable"":""YES"",""default"":null},{""column_name"":""auth_code"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""code_challenge_method"",""data_type"":""USER-DEFINED"",""is_nullable"":""NO"",""default"":null},{""column_name"":""code_challenge"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""provider_type"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""provider_access_token"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""provider_refresh_token"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""updated_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""authentication_method"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""auth_code_issued_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null}]","[{""constraint_name"":""16492_16925_11_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_16925_1_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_16925_3_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_16925_4_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_16925_5_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_16925_6_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""flow_state_pkey"",""constraint_type"":""PRIMARY KEY"",""columns"":[""id""],""foreign_table"":null,""foreign_column"":null}]"
auth,identities,"[{""column_name"":""provider_id"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""user_id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""identity_data"",""data_type"":""jsonb"",""is_nullable"":""NO"",""default"":null},{""column_name"":""provider"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""last_sign_in_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""updated_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""email"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":""gen_random_uuid()""}]","[{""constraint_name"":""16492_16723_1_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_16723_2_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_16723_3_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_16723_4_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_16723_9_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""identities_pkey"",""constraint_type"":""PRIMARY KEY"",""columns"":[""id""],""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""identities_provider_id_provider_unique"",""constraint_type"":""UNIQUE"",""columns"":[""provider_id"",""provider""],""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""identities_user_id_fkey"",""constraint_type"":""FOREIGN KEY"",""columns"":[""user_id""],""foreign_table"":null,""foreign_column"":null}]"
auth,instances,"[{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""uuid"",""data_type"":""uuid"",""is_nullable"":""YES"",""default"":null},{""column_name"":""raw_base_config"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""updated_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null}]","[{""constraint_name"":""16492_16516_1_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""instances_pkey"",""constraint_type"":""PRIMARY KEY"",""columns"":[""id""],""foreign_table"":null,""foreign_column"":null}]"
auth,mfa_amr_claims,"[{""column_name"":""session_id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""default"":null},{""column_name"":""updated_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""default"":null},{""column_name"":""authentication_method"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null}]","[{""constraint_name"":""16492_16812_1_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_16812_2_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_16812_3_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_16812_4_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_16812_5_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""amr_id_pk"",""constraint_type"":""PRIMARY KEY"",""columns"":[""id""],""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""mfa_amr_claims_session_id_authentication_method_pkey"",""constraint_type"":""UNIQUE"",""columns"":[""session_id"",""authentication_method""],""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""mfa_amr_claims_session_id_fkey"",""constraint_type"":""FOREIGN KEY"",""columns"":[""session_id""],""foreign_table"":null,""foreign_column"":null}]"
auth,mfa_challenges,"[{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""factor_id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""default"":null},{""column_name"":""verified_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""ip_address"",""data_type"":""inet"",""is_nullable"":""NO"",""default"":null},{""column_name"":""otp_code"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""web_authn_session_data"",""data_type"":""jsonb"",""is_nullable"":""YES"",""default"":null}]","[{""constraint_name"":""16492_16800_1_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_16800_2_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_16800_3_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_16800_5_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""mfa_challenges_auth_factor_id_fkey"",""constraint_type"":""FOREIGN KEY"",""columns"":[""factor_id""],""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""mfa_challenges_pkey"",""constraint_type"":""PRIMARY KEY"",""columns"":[""id""],""foreign_table"":null,""foreign_column"":null}]"
auth,mfa_factors,"[{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""user_id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""friendly_name"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""factor_type"",""data_type"":""USER-DEFINED"",""is_nullable"":""NO"",""default"":null},{""column_name"":""status"",""data_type"":""USER-DEFINED"",""is_nullable"":""NO"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""default"":null},{""column_name"":""updated_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""default"":null},{""column_name"":""secret"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""phone"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""last_challenged_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""web_authn_credential"",""data_type"":""jsonb"",""is_nullable"":""YES"",""default"":null},{""column_name"":""web_authn_aaguid"",""data_type"":""uuid"",""is_nullable"":""YES"",""default"":null},{""column_name"":""last_webauthn_challenge_data"",""data_type"":""jsonb"",""is_nullable"":""YES"",""default"":null}]","[{""constraint_name"":""16492_16787_1_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_16787_2_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_16787_4_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_16787_5_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_16787_6_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_16787_7_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""mfa_factors_last_challenged_at_key"",""constraint_type"":""UNIQUE"",""columns"":[""last_challenged_at""],""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""mfa_factors_pkey"",""constraint_type"":""PRIMARY KEY"",""columns"":[""id""],""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""mfa_factors_user_id_fkey"",""constraint_type"":""FOREIGN KEY"",""columns"":[""user_id""],""foreign_table"":null,""foreign_column"":null}]"
auth,oauth_authorizations,"[{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""authorization_id"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""client_id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""user_id"",""data_type"":""uuid"",""is_nullable"":""YES"",""default"":null},{""column_name"":""redirect_uri"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""scope"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""state"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""resource"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""code_challenge"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""code_challenge_method"",""data_type"":""USER-DEFINED"",""is_nullable"":""YES"",""default"":null},{""column_name"":""response_type"",""data_type"":""USER-DEFINED"",""is_nullable"":""NO"",""default"":""'code'::auth.oauth_response_type""},{""column_name"":""status"",""data_type"":""USER-DEFINED"",""is_nullable"":""NO"",""default"":""'pending'::auth.oauth_authorization_status""},{""column_name"":""authorization_code"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""default"":""now()""},{""column_name"":""expires_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""default"":""(now() + '00:03:00'::interval)""},{""column_name"":""approved_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null}]","[{""constraint_name"":""16492_172567_11_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_172567_12_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_172567_14_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_172567_15_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_172567_1_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_172567_2_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_172567_3_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_172567_5_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_172567_6_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_authorizations_authorization_code_key"",""constraint_type"":""UNIQUE"",""columns"":[""authorization_code""],""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_authorizations_authorization_code_length"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_authorizations_authorization_id_key"",""constraint_type"":""UNIQUE"",""columns"":[""authorization_id""],""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_authorizations_client_id_fkey"",""constraint_type"":""FOREIGN KEY"",""columns"":[""client_id""],""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_authorizations_code_challenge_length"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_authorizations_expires_at_future"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_authorizations_pkey"",""constraint_type"":""PRIMARY KEY"",""columns"":[""id""],""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_authorizations_redirect_uri_length"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_authorizations_resource_length"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_authorizations_scope_length"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_authorizations_state_length"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_authorizations_user_id_fkey"",""constraint_type"":""FOREIGN KEY"",""columns"":[""user_id""],""foreign_table"":null,""foreign_column"":null}]"
auth,oauth_clients,"[{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""client_secret_hash"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""registration_type"",""data_type"":""USER-DEFINED"",""is_nullable"":""NO"",""default"":null},{""column_name"":""redirect_uris"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""grant_types"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""client_name"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""client_uri"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""logo_uri"",""data_type"":""text"",""is_nullable"":""YES"",""default"":null},{""column_name"":""created_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""default"":""now()""},{""column_name"":""updated_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""default"":""now()""},{""column_name"":""deleted_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null},{""column_name"":""client_type"",""data_type"":""USER-DEFINED"",""is_nullable"":""NO"",""default"":""'confidential'::auth.oauth_client_type""}]","[{""constraint_name"":""16492_116655_10_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_116655_11_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_116655_13_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_116655_1_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_116655_4_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_116655_5_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_116655_6_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_clients_client_name_length"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_clients_client_uri_length"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_clients_logo_uri_length"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_clients_pkey"",""constraint_type"":""PRIMARY KEY"",""columns"":[""id""],""foreign_table"":null,""foreign_column"":null}]"
auth,oauth_consents,"[{""column_name"":""id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""user_id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""client_id"",""data_type"":""uuid"",""is_nullable"":""NO"",""default"":null},{""column_name"":""scopes"",""data_type"":""text"",""is_nullable"":""NO"",""default"":null},{""column_name"":""granted_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""NO"",""default"":""now()""},{""column_name"":""revoked_at"",""data_type"":""timestamp with time zone"",""is_nullable"":""YES"",""default"":null}]","[{""constraint_name"":""16492_172600_1_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_172600_2_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_172600_3_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_172600_4_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""16492_172600_5_not_null"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_consents_client_id_fkey"",""constraint_type"":""FOREIGN KEY"",""columns"":[""client_id""],""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_consents_pkey"",""constraint_type"":""PRIMARY KEY"",""columns"":[""id""],""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_consents_revoked_after_granted"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_consents_scopes_length"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_consents_scopes_not_empty"",""constraint_type"":""CHECK"",""columns"":null,""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_consents_user_client_unique"",""constraint_type"":""UNIQUE"",""columns"":[""user_id"",""client_id""],""foreign_table"":null,""foreign_column"":null},{""constraint_name"":""oauth_consents_user_id_fkey"",""constraint_type"":""FOREIGN KEY"",""columns"":[""user_id""],""foreign_table"":null,""foreign_column"":null}]"
